alb /ælb/
ale /eɪl/
all /ɔːl/
alas /əˈlæs/
alec /ˈælɪk/
ally /ˈælaɪ/
alms /ɑːmz/
aloe /ˈæləʊ/
also /ˈɔːlsəʊ/
alto /ˈæltəʊ/
alum /ˈæləm/
alack /əˈlæk/
alarm /əˈlɑːm/
album /ˈælbəm/
alder /ˈɔːldə(r)/
aleck /ˈælɪk/
alert /əˈlɜːt/
algae /ˈældʒiː/
algal /ˈælɡəl/
ALGOL
alias /ˈeɪliəs/
alibi /ˈæləbaɪ/
alien /ˈeɪliən/
align /əˈlaɪn/
alike /əˈlaɪk/
alive /əˈlaɪv/
ALLAH
allay /əˈleɪ/
alley /ˈæli/
allot /əˈlɒt/
allow /əˈlaʊ/
alloy /ˈælɔɪ/
aloft /əˈlɒft/
aloha /əˈləʊhə/
alone /əˈləʊn/
along /əˈlɒŋ/
aloof /əˈluːf/
aloud /əˈlaʊd/
alpha /ˈælfə/
altar /ˈɔːltə(r)/
alter /ˈɔːltə(r)/
ALASKA
ALBANY
albeit /ˌɔːlˈbiːɪt/
albino /ælˈbiːnəʊ/
ALBION
alcove /ˈælkəʊv/
alexia /əˈleksiə/
alight /əˈlaɪt/
alkali /ˈælkəlaɪ/
alkane /ˈælkeɪn/
alkene /ˈælkiːn/
allege /əˈledʒ/
allele /əˈliːl/
allied /ˈælaɪd/
allium /ˈæliəm/
allude /əˈluːd/
allure /əˈlʊə(r)/
almond /ˈɑːmənd/
almost /ˈɔːlməʊst/
alpaca /ælˈpækə/
alpine /ˈælpaɪn/
alumna /əˈlʌmnə/
alumni /əˈlʌmnaɪ/
always /ˈɔːlweɪz/
ALABAMA
ALADDIN
alarmed /əˈlɑːmd/
ALBANIA
ALBERTA
albumen /ˈælbjumɪn/
alchemy /ˈælkəmi/
alcohol /ˈælkəhɒl/
alertly /əˈlɜːtli/
alfalfa /ælˈfælfə/
algebra /ˈældʒɪbrə/
ALGERIA
alimony /ˈælɪməni/
aliquot /ˈælɪkwɒt/
alleged /əˈledʒd/
allegro /əˈleɡrəʊ/
allergy /ˈælədʒi/
almanac /ˈɔːlmənæk/
almirah /ælˈmaɪrə/
almoner /ˈɑːmənə(r)/
alphorn /ˈælphɔːn/
already /ɔːlˈredi/
alright /ɔːlˈraɪt/
alumina /əˈluːmɪnə/
alumnus /əˈlʌmnəs/
alyssum /ˈælɪsəm/
alacrity /əˈlækrəti/
alarming /əˈlɑːmɪŋ/
alarmist /əˈlɑːmɪst/
ALBANIAN
albinism /ˈælbɪnɪzəm/
alderman /ˈɔːldəmən/
ALDERNEY
aleatory /ˌæliˈeɪtəri/
alehouse /ˈeɪlhaʊs/
ALGERIAN
